"namefull","gender","birthday"
"Васьковская Римма",0,1993-03-13
"Юрасовский Лев",1,1977-08-25
"Ляпунова Анна",0,1971-08-24
"Булгаков Пётр",1,1978-03-04
"Обрютин Денис",1,1988-01-06
"Ланге Филипп",1,1980-04-14
"Чеснок Ольга",0,1978-05-16
"Крашевский Артём",1,1976-09-23
"Сумарокова Яна",0,1987-05-10
"Шольцев Валентин",1,1986-04-14
"Петухов Тимур",1,1976-09-06
"Острожская Анна",0,1979-08-10
"Лабунский Александр",1,1984-05-29
"Белов Геннадий",1,1977-02-13
"Лобачевский Валентин",1,1980-12-24
"Башмаков Виталий",1,1986-12-11
"Каша Маргарита",0,1981-11-12
"Макшеева Вероника",0,1971-07-28
"Доможиров Станислав",1,1984-10-15
"Авербах Ростислав",1,1984-04-16
"Клементьев Дмитрий",1,1971-07-23
"Хмелев Александр",1,1979-10-10
"Чубаров Леонид",1,1973-10-18
"Кашкина Александра",0,1986-08-25
"Матвеева Людмила",0,1965-07-12
"Лозинская Ольга",0,1983-01-10
"Ватутина Мария",0,1986-11-05
"Байчуров Аркадий",1,1980-09-19
"Чаадаева Екатерина",0,1972-11-06
"Карташева Элла",0,1993-01-27
"Пажинский Павел",1,1981-11-26
"Якубович Маргарита",0,1978-04-30
"Малышко Иннокентий",1,1963-05-28
"Кошелева Екатерина",0,1981-09-18
"Маткевич Фёдор",1,1984-09-25
"Внуков Олег",1,1978-11-23
"Алексеева Людмила",0,1986-01-27
"Стахович Андрей",1,1981-03-22
"Суворов Иван",1,1979-06-04
"Кутайсов Георгий",1,1971-10-22
"Измайлов Георгий",1,1986-04-30
"Огибалов Ярослав",1,1985-08-09
"Соломерецкая Надежда",0,1986-12-03
"Горелов Тимур",1,1973-08-27
"Державина Надежда",0,1982-05-11
"Ветошникова Екатерина",0,1979-04-11
"Ашиткова Надежда",0,1985-10-04
"Веригина Ангелина",0,1982-08-24
"Вадбольская Оксана",0,1978-02-02
"Гринев Георгий",1,1981-08-11
"Каргашина Таисия",0,1976-04-16
"Дедюлин Филипп",1,1978-04-10
"Гольская Зоя",0,1989-06-23
"Карпова Наталия",0,1978-02-27
"Полубинский Ростислав",1,1988-04-12
"Нилова Арина",0,1993-05-22
"Телятевский Кирилл",1,1992-02-16
