"date_day","namefull","birthday","gender","billv"
2017-02-07,"Маткевич Фёдор",1984-09-25,1,1403
2017-02-07,"Соломерецкая Надежда",1986-12-03,0,614
2017-02-07,"Вознесенский Алексей",1985-06-23,1,1637
2017-02-07,"Симолин Тимур",1984-05-12,1,884
2017-02-07,"Кисловский Эдуард",1993-06-23,1,822
2017-02-07,"Беляев Михаил",1970-08-02,1,1982
2017-02-07,"Шиферов Артём",1983-02-15,1,786
2017-02-07,"Великопольский Алексей",1978-05-22,1,892
2017-02-07,"Юрченко Светлана",1982-02-14,0,1204
2017-02-07,"Хрущов Аркадий",1981-12-03,1,675
2017-02-07,"Возницын Виталий",1979-11-27,1,892
2017-02-07,"Боброва Екатерина",1979-10-28,0,1759
2017-02-07,"Садыков Геннадий",1984-10-17,1,2047
2017-02-07,"Телешева Анастасия",1978-04-12,0,1957
2017-02-07,"Свечка Екатерина",1997-07-22,0,1248
2017-02-07,"Глазьева Ангелина",1976-05-26,0,974
2017-02-07,"Извольский Сергей",1990-04-19,1,1077
2017-02-07,"Ефремовский Антон",1977-07-08,1,1624
2017-02-07,"Малиновская Елизавета",1973-09-12,0,739
2017-02-07,"Порошин Святослав",1974-08-17,1,1964
2017-02-07,"Калинина Вера",1978-07-25,0,754
2017-02-07,"Лонгинов Данила",1982-04-22,1,465
2017-02-07,"Влезкова Алла",1966-05-01,0,772
2017-02-07,"Судиенко Мария",1986-03-18,0,1531
2017-02-07,"Ягужинский Станислав",1978-05-18,1,1860
2017-02-07,"Мезенцова Марина",1995-09-30,0,2225
2017-02-07,"Чаплин Михаил",1978-01-29,1,953
2017-02-07,"Михалкин Антон",1965-06-05,1,1080
2017-02-07,"Кожевникова Римма",1976-09-17,0,1554
2017-02-07,"Жедринский Николай",1982-06-23,1,1820
2017-02-07,"Грабленова Лариса",1963-07-23,0,1036
2017-02-07,"Юсупов Антон",1971-11-16,1,748
2017-02-07,"Хилков Даниил",1980-07-25,1,774
2017-02-07,"Ляпишева Валентина",1977-06-20,0,584
2017-02-07,"Иванченко Станислав",1982-04-29,1,1129
2017-02-07,"Сукин Данила",1992-03-18,1,1297
2017-02-07,"Карабчевский Пётр",1983-01-22,1,1577
2017-02-07,"Башкирёва Зоя",1979-10-16,0,1343
2017-02-07,"Гендрикова Любовь",1989-08-03,0,900
2017-02-07,"Якунин Тимофей",1993-04-02,1,1020
2017-02-07,"Крупенский Роман",1974-06-21,1,963
2017-02-07,"Шишкова Виктория",1972-02-04,0,1909
2017-02-07,"Кремер Владимир",1987-12-09,1,1601
2017-02-08,"Крашевский Артём",1976-09-23,1,1026
2017-02-08,"Вердеревский Святослав",1976-11-30,1,1413
2017-02-08,"Бегильдеева Фаина",1970-08-02,0,1068
2017-02-08,"Бушинская Дарья",1972-09-05,0,1447
2017-02-08,"Аносов Никита",1968-08-06,1,920
2017-02-08,"Коновалова Елена",1983-12-13,0,891
2017-02-08,"Фролов Роман",1981-06-19,1,552
2017-02-08,"Аммосова Варвара",1991-08-15,0,1087
2017-02-08,"Горностай Игорь",1980-07-04,1,1474
2017-02-08,"Сумарокова Юлия",1980-12-22,0,795
2017-02-08,"Борецкая Римма",1976-06-29,0,1201
2017-02-08,"Ададуров Дмитрий",1973-03-05,1,981
2017-02-08,"Воронецкий Илья",1971-07-23,1,710
2017-02-08,"Магалов Святослав",1986-05-29,1,1166
2017-02-08,"Юрьев Антон",1995-09-12,1,1036
2017-02-08,"Стрешнев Гавриил",1984-10-06,1,1168
2017-02-08,"Заплатин Виталий",1987-12-28,1,886
2017-02-08,"Болховитинов Лев",1981-08-10,1,1227
2017-02-08,"Щепин Николай",1984-07-18,1,1011
2017-02-08,"Бехтеева Ирина",1992-04-09,0,904
2017-02-08,"Михалкин Антон",1982-03-03,1,1885
2017-02-08,"Шиманский Анатолий",1966-07-15,1,1337
2017-02-08,"Гнеушева Фаина",1975-06-13,0,1171
2017-02-08,"Губастов Владимир",1990-02-16,1,631
